source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N8_0003_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0003_ring-3-substituted.xyz,8,ring-3-substituted,0,0,True,-23.189560960946267,-78.87751,-0.45518,2.99
N_csp,N_csp_N7_0049_bicyclic-3-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0049_bicyclic-3-4-5.xyz,7,bicyclic-3-4-5,0,1,True,-20.187763292359946,-78.47672,-0.05438,18.33
N_csp,N_csp_N8_0000_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0000_bicyclic-4-4.xyz,8,bicyclic-4-4,0,0,True,-23.057630444778063,-78.42876,-0.00643,9.87
N_csp,N_csp_N7_0055_bicyclic-4-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0055_bicyclic-4-4-4.xyz,7,bicyclic-4-4-4,0,1,True,-20.213660625131414,-78.57739,-0.15505,14.07
N_csp,N_csp_N7_0060_bicyclic-3-3-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0060_bicyclic-3-3-4-5.xyz,7,bicyclic-3-3-4-5,0,1,True,-20.212298058269717,-78.57209,-0.14976,12.1
N_csp,N_csp_N8_0005_bicyclic-4-5-6,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0005_bicyclic-4-5-6.xyz,8,bicyclic-4-5-6,0,0,True,-23.121007624279947,-78.64433,-0.222,8.19
N_csp,N_csp_N7_0051_bicyclic-3-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0051_bicyclic-3-5.xyz,7,bicyclic-3-5,0,1,True,-20.245189908291582,-78.69995,-0.27762,26.13
N_csp,N_csp_N8_0010_bicyclic-4-6,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0010_bicyclic-4-6.xyz,8,bicyclic-4-6,0,0,True,-23.130643441615998,-78.67711,-0.25477,1.93
N_csp,N_csp_N8_0007_bicyclic-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0007_bicyclic-5-5.xyz,8,bicyclic-5-5,0,0,True,-23.105543459776666,-78.59173,-0.1694,9.24
N_csp,N_csp_N8_0012_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N8_0012_branched-tree.xyz,8,branched-tree,0,0,True,-23.147902138907796,-78.73581,-0.31348,3.71
